Sr. No.,OEM Type,OEM Name,City/District,State,Contact Phone,Contact Email,Uses ABB Motors,Source/Notes
33,Conveyor Systems,SMT Conveyors And Automations,Bengaluru,Karnataka,+917942836598,N/A,Unknown,Conveyor automation systems
34,Conveyor Systems,Loknath Engineering,Kolkata,West Bengal,+918046045188,N/A,Unknown,Conveyor engineering systems
35,Conveyor Systems,S.G. Packaging And Coding Co.,Kolkata,West Bengal,+918048603440,N/A,Unknown,Packaging and conveyor systems
36,Conveyor Systems,Flexitech Engineering,Kolkata,West Bengal,+918048263934,N/A,Unknown,Flexible conveyor engineering
37,Modular Belt Conveyor,Prime Equipment And Plant Automation,Kolkata,West Bengal,+918047630995,N/A,Unknown,Modular conveyor systems
38,Conveyor Systems,Alpha Beltech & Systems,Kolkata,West Bengal,+918046043280,N/A,Unknown,Belt technology and conveyor systems
39,Screw Conveyor,JD Roto Engineering,Kolkata,West Bengal,+918047623589,N/A,Unknown,Screw conveyor specialist
40,UV Sanitization Conveyor,H. S. Engineers,Kolkata,West Bengal,+918048950903,N/A,Unknown,Specialized sanitization conveyors
41,Conveyor Systems,Psquare Technologies,Kolkata,West Bengal,+918046077012,N/A,Unknown,Technology-driven conveyor systems
42,Belt Process Line Conveyors,Pragati Industries,East Kolkata Township,West Bengal,+918048956436,N/A,Unknown,Process line conveyor systems
43,Conveyor Systems,M D Conveyor Systems,Pune,Maharashtra,+917942554613,N/A,Unknown,Conveyor systems manufacturer
44,Material Handling System,Samarth Conveyors,Mumbai,Maharashtra,+918047691014,N/A,Unknown,Material handling and conveyor systems
45,Belt Conveyors,RS Industrial Solutions,New Delhi,Delhi,+918048956022,N/A,Unknown,Industrial belt conveyor solutions
46,Conveyor Systems,Anton Automation Private Limited,Delhi,Delhi,+918048977003,N/A,Unknown,Automation and conveyor systems
47,Bottling Plants Conveyor,Radix Industries,Kanpur,Uttar Pradesh,+918046063384,N/A,Unknown,Bottling plant conveyor specialist
48,Vertical Conveyors,M/S Vishnu Engineering,Kanpur,Uttar Pradesh,+918047638476,N/A,Unknown,Vertical conveyor systems
49,Vertical Conveyors,Daifuku Intralogistics India Private Limited,Hyderabad,Telangana,+91-8044566431,N/A,Unknown,Japanese vertical conveyor technology
50,Vertical Reciprocating Conveyors,Introcon Conveyor Systems,Hyderabad,Telangana,+91-8047673339,N/A,Unknown,Vertical reciprocating conveyor systems
