Sr. No.,OEM Type,OEM Name,City/District,State,Contact Phone,Contact Email,Uses ABB Motors,Source/Notes
37,Conveyor System Manufacturer,Jaytex International,Jaipur/Kanpur/Kolkata/Faridabad/Ghaziabad/New Delhi,Rajasthan/UP/West Bengal/NCR,+918048615046,N/A,Potential,International conveyor systems
38,Conveyor System Manufacturer,Pal Innovations Private Limited,Bhiwadi/Faridabad/Jaipur/New Delhi,Rajasthan/NCR,+918048951244,N/A,Potential,Innovative conveyor solutions
39,Conveyor System Manufacturer,Bandma Equipcorp Limited,Bahadurgarh/New Delhi,Haryana/NCR,+918048955834,N/A,Potential,Equipment and conveyor systems
40,Conveyor System Manufacturer,Aline Conveyors Private Limited,Bhiwadi/New Delhi,Rajasthan/NCR,+918046042014,N/A,Potential,Conveyor systems manufacturer
41,Material Handling Equipment,Majboot Material Handling Private Limited,Ahmedabad,Gujarat,+91-79-25396240,info@majbootmhe.com,Potential,Material handling equipment with gearbox applications
42,Compressor Manufacturer,Kirloskar Pneumatic Company Limited,Pune,Maharashtra,N/A,N/A,Potential,Compressor systems requiring gearboxes
43,Compressor Manufacturer,ELGi Equipments Limited,Coimbatore,Tamil Nadu,1800-425-3544,enquiry@elgi.com,Potential,Air compressor systems
44,Compressor Manufacturer,FS-Curtis India,Pune,Maharashtra,+91 8956964864,N/A,Potential,Air compressor technology
45,Compressor Manufacturer,Ingersoll Rand India,N/A,N/A,N/A,N/A,Potential,Industrial compressor systems
46,Compressor Manufacturer,Bitzer India Private Limited,Mumbai,Maharashtra,N/A,N/A,Potential,Refrigeration compressor technology
47,Compressor Manufacturer,Highly Electric Company (India),Ahmedabad,Gujarat,+91-2717-392899,sales@highly.co.in,Potential,Electrical and compressor equipment
48,Compressor Manufacturer,Freezeking,Delhi,NCR,+91 9899 7010 28,freezekingindustries@gmail.com,Potential,Refrigeration equipment
49,Compressor Manufacturer,Atlas Copco India,Pune,Maharashtra,+91 77680 80901,info.compressor@atlascopco.com,Yes,Uses ABB Motors/Components
50,Compressor Manufacturer,Deep Industries Limited,Ahmedabad,Gujarat,+91 2717-298520,info@deepindustries.com,Potential,Process gas compression systems
