Sr. No.,OEM Type,OEM Name,City/District,State,Contact Phone,Contact Email,Uses ABB Motors,Source/Notes
18,Fans & Blowers,Aero Therm Systems Pvt. Ltd.,Ahmedabad,Gujarat,N/A,N/A,Potential,Manufacturer of a variety of industrial heating systems fans and blowers
19,Axial Flow Fans,Axialo Industries,Bengaluru,Karnataka,N/A,N/A,Potential,Manufacturer of axial flow fans tube axial type and roof exhausters
20,Industrial Blowers,Chakshu Engineering,Ahmedabad,Gujarat,N/A,N/A,Potential,Manufacturer of exhaust ventilators and motor cooling blowers
21,Air Blowers,Yash Blowers Private Limited,Faridabad,Haryana,N/A,N/A,Potential,Manufacturer of a wide range of industrial air blowers
22,FRP Centrifugal Blowers,D.M. Engineering Co.,N/A,N/A,N/A,N/A,Potential,ISO certified manufacturer of FRP centrifugal blowers and suction blowers
23,Industrial Axial Fan,RE Blowers India Private Limited,Mumbai,Maharashtra,9821855724,sales@reblowers.com,Potential,ISO certified manufacturer of air blowers and vacuum blowers
24,Industrial Air Blower,Shalin Composites (India) Private Limited,Palghar,Maharashtra,N/A,N/A,Potential,ISO certified manufacturer of industrial air blowers with a global export network
25,Twin Lobe Air Blower,Rootech Services,Greater Noida,Uttar Pradesh,N/A,N/A,Potential,Manufacturer of industrial air blowers and twin lobe root blowers
26,Industrial Man Cooler Fans,United Air Tech Industries,Mumbai,Maharashtra,+91-22-28571126,info@unitedairtechinds.in,Potential,Manufacturer of centrifugal fans PP/FRP blowers and tube axial fans
27,High-Pressure Blowers,Mechno Tech,Dewas,Madhya Pradesh,N/A,N/A,Potential,Manufacturer of high-pressure blowers and SS mirror-finished blowers
28,Centrifugal Blower,Deepti Air Systems,Mumbai,Maharashtra,N/A,N/A,Potential,Manufacturer of centrifugal blowers for exhaust gases and pneumatic conveying
29,Centrifugal Blower,AS Engineers,N/A,N/A,N/A,N/A,Potential,Manufacturer of high-pressure low-pressure and custom-designed centrifugal blowers
30,Industrial Blowers,Blowtech Engineers Private Limited,Vasai,Maharashtra,N/A,N/A,Potential,Manufacturer of hot air blowers and industrial portable blowers
31,Cooling Tower Fan,Manvi Textiles Air Engineers Pvt Ltd,Mumbai,Maharashtra,N/A,textair@hotmail.com,Potential,Manufacturer of FRP cooling tower fans for industrial use
32,Force Draft Fan,Laxmi Udyog,Mumbai,Maharashtra,+(91)-(22)-29271110,laxmiudyog12@gmail.com,Potential,Manufacturer of V-Belt driven force draft fans for industrial applications
33,Hot Air Fan,B. D. Fans And Enviro Engineering,Kolkata,West Bengal,+91 9830325077,das.bdair@gmail.com,Potential,Manufacturer of hot air fans for industrial use
34,HVLS Fan,Ecoair Cooling Systems Private Limited,Pune,Maharashtra,+91 99229 39101,sales@ecoair.co.in,Potential,Manufacturer of PMSM 24 ft HVLS fans
35,Boiler Centrifugal Fans,Aerotech Equipments And Projects Private Limited,Greater Noida,Uttar Pradesh,+91-9810162210,sales@aerotechfans.in,Potential,Manufacturer of duct and wall mounted boiler centrifugal fans
36,Industrial Fan,Bharat Ventilation Systems,Gautam Buddha Nagar,Uttar Pradesh,+91 7386 535353,contact@bharatgroup.com,Potential,Manufacturer of wall mount industrial fans for ventilation
37,Commercial Fans,Atomberg Technologies Pvt Ltd,Navi Mumbai,Maharashtra,844 844 9442,support@atomberg.com,Potential,Primary member of IFMA manufactures a range of fans
38,Commercial Fans,Bajaj Electricals Ltd.,Mumbai,Maharashtra,022-4128 0000,consumercare@bajajelectricals.com,Potential,Primary member of IFMA manufactures a wide range of fans
39,Commercial Fans,Orient Electric Ltd.,New Delhi,Delhi,0120-4147414,N/A,Potential,Primary member of IFMA manufactures a wide range of fans
40,Commercial Fans,Polar Elektric Ltd.,Kolkata,West Bengal,033-66291892,N/A,Potential,Primary member of IFMA manufactures a range of fans
41,Commercial Fans,Polycab India Ltd.,Mumbai,Maharashtra,022-67351400,N/A,Potential,Primary member of IFMA manufactures a range of fans
42,Commercial Fans,Surya Roshni Limited,New Delhi,Delhi,011-25810093-96,N/A,Potential,Primary member of IFMA manufactures a range of fans
43,Commercial Fans,V-Guard Industries Ltd.,Kochi,Kerala,1800-103-1300,customercare@vguard.in,Potential,Primary member of IFMA manufactures a range of fans
44,Roots Blower,Jyoti Airtech Engineers,Ahmedabad,Gujarat,N/A,N/A,Potential,Manufacturer of roots blowers for ETP/STP plant aeration
45,Industrial Roots Blowers,Leelam Industries,Ahmedabad,Gujarat,N/A,N/A,Potential,Manufacturer of industrial roots blowers
46,Industrial Centrifugal Fans,EVG ENGICON AIRTECH PVT. LTD.,Pune,Maharashtra,20-27690606,N/A,Potential,Manufacturer of low medium and high-pressure centrifugal fans/blowers
47,Axial Flow Fan/Industrial Blowers,RAJ ENTERPRISE,Palghar,Maharashtra,0-9769759167,N/A,Potential,Manufacturer of axial flow fans and industrial blowers
48,OEM Fans,SYS Electromac,Hyderabad,Telangana,N/A,N/A,Potential,OEM partner for leading fan brands like V-Guard and Usha
49,Industrial/Centrifugal Fans,Alfa Fans,Mumbai,Maharashtra,+91 9967628344,N/A,Potential,Manufacturer of industrial pedestal fans exhaust fans and centrifugal blowers
50,HVLS/Exhaust Fans,Marut Air,Ahmedabad,Gujarat,+91 63582 54966,ops9@marutair.com,Potential,Manufacturer of big industrial fans gearless HVLS fans and exhaust fans
