Sr. No.,OEM Type,OEM Name,City/District,State,Contact Phone,Contact Email,Uses ABB Motors,Source/Notes
48,Automotive AC,Subros Ltd,Noida,Uttar Pradesh,N/A,msethi@subros.com,Information Unavailable,Automotive air conditioning systems
49,Refrigeration,Super Refrigeration (India) Pvt. Ltd.,New Delhi,Delhi,+91 9891182940,info@superefrigeration.com,Information Unavailable,Refrigeration equipment manufacturer
50,Refrigeration,Superfreeze India Ltd.,Gurgaon,Haryana,+91 9810048749,mainisk@superfreeze.com,Information Unavailable,Industrial refrigeration systems
51,Refrigeration,Tropikal Comfort Pvt. Ltd.,Jalna,Maharashtra,+91 9422927364,tropikalcomfort@gmail.com,Information Unavailable,Refrigeration and comfort systems
52,Refrigeration,Aircon Refrigeration Co. Delhi,New Delhi,Delhi,+91 9811253434,tpsmehar@hotmail.com,Information Unavailable,Refrigeration equipment and services
53,Refrigeration,Airfreeze Enterprises,Bengaluru,Karnataka,N/A,airfreezeenterprise@gmail.com,Information Unavailable,Refrigeration equipment manufacturer
54,Refrigeration,Bothra Electric & Refrigeration Co.,Ahmedabad,Gujarat,+91 9327482763,bothraref@yahoo.com,Information Unavailable,Electrical and refrigeration equipment
55,Refrigeration,Delhi Refrigeration Corporation,New Delhi,Delhi,+91 9312274285,delrefco@hotmail.com,Information Unavailable,Refrigeration equipment manufacturer
56,Refrigeration,Ever Cool Refregeration,Kochi,Kerala,+91 9388619953,ever.coooll@gmail.com,Information Unavailable,Refrigeration systems
57,Refrigeration,Royal Electronics,Roorkee,Uttarakhand,+91 9917266861,royalrefrigerationworks80@gmail.com,Information Unavailable,Electronics and refrigeration equipment
58,Aircon,Sai Aircon,Aurangabad,Maharashtra,+91 9850023777,saiaircon@gmail.com,Information Unavailable,Air conditioning systems
59,Refrigeration,Tempcon,Kolkata,West Bengal,+91 9830040717,info@tempcon.co.in,Information Unavailable,Temperature control and refrigeration
60,Gas Compressors,Sukan Engineering Pvt Ltd,Mumbai,Maharashtra,N/A,N/A,Information Unavailable,Gas compression engineering
61,Compressors (Various),Indmark,N/A,Maharashtra,N/A,N/A,Information Unavailable,Industrial compressor manufacturer
62,Gas Compressors,KAL ENERGY INDIA PVT. LTD.,N/A,N/A,N/A,N/A,Information Unavailable,Energy and gas compression solutions
63,Industrial Compressors,GASAIR MULTITECH LLP,N/A,N/A,N/A,N/A,Information Unavailable,Gas and air compression technology
64,Compressors (Various),Toshniwal Brothers SR Private Limited,N/A,Karnataka,N/A,N/A,Information Unavailable,Industrial equipment manufacturer
65,Air Compressors,Reliable Pneumatic,Secunderabad,Telangana,N/A,N/A,Information Unavailable,Pneumatic and air compression systems
66,Compressors (Various),Powertherm Engg. Private Limited,Hyderabad,Telangana,N/A,N/A,Information Unavailable,Power and thermal engineering
67,Reciprocating Compressors,Metro International,Kolkata,West Bengal,N/A,N/A,Information Unavailable,Reciprocating compressor specialist
68,Air Compressors,Standard Engineering Company,Ahmedabad,Gujarat,N/A,N/A,Information Unavailable,Standard engineering and air compressors
69,High Pressure Gas Compressors,Sulzer India Limited,Pune,Maharashtra,N/A,N/A,Information Unavailable,Swiss high pressure compression technology
70,Reciprocating Compressors,IDEX India Private Limited,Mumbai,Maharashtra,N/A,N/A,Information Unavailable,Reciprocating compressor systems
71,Reciprocating Compressors,Gayatri Engineering Company Private Limited,Ahmedabad,Gujarat,N/A,N/A,Information Unavailable,Engineering and compressor manufacturing
72,Air Compressors,Selwel Enterprises Private Limited,Aurangabad,Maharashtra,N/A,N/A,Information Unavailable,Air compressor manufacturing and services
73,Air Compressors,The KND Tools & Equipments,Coimbatore,Tamil Nadu,N/A,N/A,Information Unavailable,Tools and air compressor equipment
74,Air Compressors,Bimpex Machines Private Limited,Mumbai,Maharashtra,N/A,N/A,Information Unavailable,Machine and air compressor manufacturing
75,Compressors,Integrated Engineers & Contractors,Delhi,Delhi,N/A,N/A,Information Unavailable,Engineering and contracting services
76,Air Compressors,Aar Vee Pneumatic Services,Hyderabad,Telangana,N/A,N/A,Information Unavailable,Pneumatic services and air compressors
77,Air Compressors,Unik Pneumatic Engineering Company Private Limited,Hyderabad,Telangana,N/A,N/A,Information Unavailable,Pneumatic engineering and air compressors
78,Air Compressors,Metro Engineering Equipments,Coimbatore,Tamil Nadu,N/A,N/A,Information Unavailable,Engineering equipment and air compressors
79,Air Compressors,R.D. Dutta & Company Private Limited,New Delhi,Delhi,N/A,N/A,Information Unavailable,Industrial equipment and air compressors
80,Compressed Air Systems,A-1 Air & Gas Company,Mumbai,Maharashtra,N/A,N/A,Information Unavailable,Air and gas compression systems
81,Compressors,Maxbee Industries,Coimbatore,Tamil Nadu,N/A,N/A,Information Unavailable,Industrial compressor manufacturing
82,Air Compressors,Esar Equipments,Coimbatore,Tamil Nadu,N/A,N/A,Information Unavailable,Equipment and air compressor manufacturing
83,Air Compressors,Precimax CNC Engineers,Trichy,Tamil Nadu,N/A,N/A,Information Unavailable,CNC engineering and air compressors
84,Air Compressors,Kool Tech Engineers,New Delhi,Delhi,N/A,N/A,Information Unavailable,Technical engineering and air compressors
85,Compressors,Arun Engineering Works,Namakkal,Tamil Nadu,N/A,N/A,Information Unavailable,Engineering works and compressor manufacturing
86,Air Compressor,Karan Associates Company,New Delhi,Delhi,N/A,N/A,Information Unavailable,Air compressor associates and services
87,Distributor/Supplier,Multivista Global Private Limited,Chennai,Tamil Nadu,+91 44-42030400,N/A,N/A,Global distribution and supply services
88,Related Industry/Component Supplier,AL-CAN EXPORTS PVT. LTD.,Thane,Maharashtra,N/A,vijay@alcanexports.com,N/A,Export and component supply services
89,Related Industry/Component Supplier,ALFA PEB LTD.,Bangalore,Karnataka,N/A,enquiry@asbs.in,N/A,Pre-engineered building and components
90,Related Industry/Component Supplier,ALP OVERSEAS PVT. LTD.,Gurgaon,Haryana,N/A,madhushri@alpaeroflex.com,N/A,Overseas component supply services
91,Related Industry/Component Supplier,AMBER ENTERPRISES INDIA LTD,Gurgaon,Haryana,N/A,ankit@ambergroupindia.com,Information Unavailable,Enterprise solutions and components
92,Related Industry/Component Supplier,AVI-OIL INDIA PVT. LTD.,Noida,Uttar Pradesh,+91 120 4891700,chandra@avi-oil.com,N/A,Oil and lubrication services
93,Industrial Compressors,Ingersoll Rand,N/A,N/A,N/A,N/A,Yes,Uses ABB Components for Motor Control
